x-axis,1,2,3
second,Volt,Volt,Volt
-266.75200E-06,+1.21182012E-03,-193.30543E-06,-140.16725E-06
-266.73600E-06,+1.04445610E-03,-486.19245E-06,-1.12343088E-03
-266.72000E-06,+1.14382849E-03,-799.99998E-06,-725.94133E-06
-266.70400E-06,+1.12290798E-03,-1.01338910E-03,-453.97479E-06
-266.68800E-06,+966.00421E-06,-774.89538E-06,-767.78233E-06
-266.67200E-06,+877.09208E-06,-398.32635E-06,-767.78233E-06
-266.65600E-06,+798.64019E-06,-967.36399E-06,-767.78233E-06
-266.64000E-06,+887.55233E-06,-1.18493721E-03,-767.78233E-06
-266.62400E-06,+1.05491635E-03,-649.37237E-06,-412.13378E-06
-266.60800E-06,+1.04445610E-03,-611.71546E-06,-453.97479E-06
-266.59200E-06,+1.23274062E-03,-728.87027E-06,-412.13378E-06
-266.57600E-06,+1.29027200E-03,-950.62759E-06,-453.97479E-06
-266.56000E-06,+1.04445610E-03,-1.13054391E-03,-412.13378E-06
-266.54400E-06,+966.00421E-06,-925.52299E-06,-453.97479E-06
-266.52800E-06,+1.05491635E-03,-1.08451880E-03,-767.78233E-06
-266.51200E-06,+1.22228037E-03,-979.91630E-06,-767.78233E-06
-266.49600E-06,+1.30073226E-03,-950.62759E-06,-412.13378E-06
-266.48000E-06,+1.30073226E-03,-1.13054391E-03,-453.97479E-06
-266.46400E-06,+1.38964439E-03,-1.21004182E-03,-412.13378E-06
-266.44800E-06,+1.37918414E-03,-1.33556483E-03,-453.97479E-06
-266.43200E-06,+1.30073226E-03,-1.19330541E-03,-412.13378E-06
-266.41600E-06,+1.38964439E-03,-1.06778240E-03,-809.62334E-06
-266.40000E-06,+1.37918414E-03,-783.26358E-06,-1.08158987E-03
-266.38400E-06,+1.38964439E-03,-674.47697E-06,-412.13378E-06
-266.36800E-06,+1.37918414E-03,-799.99998E-06,-98.32624E-06
-266.35200E-06,+1.47855653E-03,-515.48116E-06,-453.97479E-06
-266.33600E-06,+1.54654816E-03,-406.69455E-06,-767.78233E-06
-266.32000E-06,+1.46809628E-03,-532.21756E-06,-412.13378E-06
-266.30400E-06,+1.64592055E-03,-674.47697E-06,-98.32624E-06
-266.28800E-06,+1.98064859E-03,-728.87027E-06,-453.97479E-06
-266.27200E-06,+1.95972809E-03,-381.58994E-06,-412.13378E-06
-266.25600E-06,+1.89173646E-03,-486.19245E-06,-98.32624E-06
-266.24000E-06,+1.97018834E-03,-799.99998E-06,-453.97479E-06
-266.22400E-06,+1.70345193E-03,-515.48116E-06,-767.78233E-06
-266.20800E-06,+1.82374482E-03,-335.56484E-06,-767.78233E-06
-266.19200E-06,+2.04864023E-03,-398.32635E-06,-767.78233E-06
-266.17600E-06,+2.41474903E-03,-611.71546E-06,-767.78233E-06
-266.16000E-06,+2.62918418E-03,-586.61086E-06,-767.78233E-06
-266.14400E-06,+2.38336827E-03,-256.06693E-06,-412.13378E-06
-266.12800E-06,+2.39382852E-03,-272.80333E-06,-98.32624E-06
-266.11200E-06,+2.38336827E-03,-327.19664E-06,-98.32624E-06
-266.09600E-06,+2.30491639E-03,-51.04602E-06,-453.97479E-06
-266.08000E-06,+2.21600425E-03,-76.15062E-06,-412.13378E-06
-266.06400E-06,+2.22646450E-03,-264.43513E-06,-453.97479E-06
-266.04800E-06,+2.30491639E-03,-477.82425E-06,-412.13378E-06
-266.03200E-06,+2.48274066E-03,-737.23847E-06,-98.32624E-06
-266.01600E-06,+2.46182016E-03,-444.35145E-06,-453.97479E-06
-266.00000E-06,+2.48274066E-03,-415.06275E-06,-412.13378E-06
-265.98400E-06,+2.63964443E-03,-666.10877E-06,-98.32624E-06
-265.96800E-06,+2.55073229E-03,-879.49789E-06,-809.62334E-06
-265.95200E-06,+2.73901682E-03,-427.61505E-06,-1.08158987E-03
-265.93600E-06,+2.79654820E-03,-716.31797E-06,-412.13378E-06
-265.92000E-06,+2.72855657E-03,-1.32719663E-03,-98.32624E-06
-265.90400E-06,+2.62918418E-03,-1.05941420E-03,-453.97479E-06
-265.88800E-06,+2.65010468E-03,-1.14728031E-03,-412.13378E-06
-265.87200E-06,+2.54027204E-03,-908.78659E-06,-453.97479E-06
-265.85600E-06,+2.39382852E-03,-958.99579E-06,-412.13378E-06
-265.84000E-06,+2.65010468E-03,-1.26443512E-03,-98.32624E-06
-265.82400E-06,+2.62918418E-03,-917.15479E-06,-98.32624E-06
-265.80800E-06,+2.82792895E-03,-1.09288700E-03,-453.97479E-06
-265.79200E-06,+2.78608795E-03,-1.11380751E-03,-412.13378E-06
-265.77600E-06,+2.29445614E-03,-1.36903763E-03,-453.97479E-06
-265.76000E-06,+2.40428877E-03,-1.51548114E-03,-56.48524E-06
-265.74400E-06,+2.37290802E-03,-1.05941420E-03,+215.48130E-06
-265.72800E-06,+2.22646450E-03,-1.21841002E-03,-453.97479E-06
-265.71200E-06,+2.12709211E-03,-971.54809E-06,-412.13378E-06
