Time,Oven T,Chamber T,Oven output
2021-12-11 6:30:04,110.0,109.05,11
2021-12-11 6:32:08,110.0,109.06,12
2021-12-11 6:34:13 AM,110.0,109.17,7
2021-12-11 6:36:18,110.0,109.01,6
2021-12-11 6:38:22,110.0,109.12,9
2021-12-11 6:40:27,110.0,109.29,9
2021-12-11 6:42:31,110.0,109.15,10
2021-12-11 6:44:36,110.0,109.26,6
2021-12-11 6:46:41,110.0,109.17,12
2021-12-11 6:48:45,110.0,109.3,9
2021-12-11 6:50:50,110.0,109.22,7
2021-12-11 6:52:54,110.0,109.12,11
2021-12-11 6:54:59,110.0,109.34,11
2021-12-11 6:57:04,110.0,109.25,8
2021-12-11 6:59:08,110.0,109.29,9
2021-12-11 7:01:13,110.0,109.35,9
2021-12-11 7:03:17,110.0,109.21,7
2021-12-11 7:05:22,110.0,109.26,5
2021-12-11 7:07:27,110.0,109.29,4
2021-12-11 7:09:31,110.0,109.19,10
2021-12-11 7:11:36,110.0,109.29,9
2021-12-11 7:13:40,110.0,109.2,6
2021-12-11 7:15:45,110.0,109.32,10
2021-12-11 7:17:50,110.0,109.4,11
2021-12-11 7:19:54,110.0,109.34,7
2021-12-11 7:21:59,110.0,109.18,9
2021-12-11 7:24:04,110.0,109.36,6
2021-12-11 7:26:08,110.0,109.42,9
2021-12-11 7:28:13,110.0,109.3,8
2021-12-11 7:30:17,110.0,109.37,5
2021-12-11 7:32:22,110.0,109.47,3
2021-12-11 7:34:26,110.0,109.37,8
2021-12-11 7:36:31,110.0,109.43,8
2021-12-11 7:38:36,110.0,109.4,11
2021-12-11 7:40:40,110.0,109.31,10
2021-12-11 7:42:45,110.0,109.34,11
2021-12-11 7:44:49,110.0,109.34,6
2021-12-11 7:46:54,110.0,109.44,7
2021-12-11 7:48:59,110.0,109.35,7
2021-12-11 7:51:03,110.0,109.29,6
2021-12-11 7:53:08,110.0,109.48,3
2021-12-11 7:55:12,110.0,109.53,8
2021-12-11 7:57:17,110.0,109.43,9
2021-12-11 7:59:22,110.0,109.43,12
2021-12-11 8:01:26,110.0,109.38,8
2021-12-11 8:03:31,110.0,109.49,11
2021-12-11 8:05:35,110.0,109.42,10
2021-12-11 8:07:40,110.0,109.47,5
2021-12-11 8:09:45,110.0,109.48,8
2021-12-11 8:11:49,110.0,109.53,6
2021-12-11 8:13:54,110.0,109.64,8
2021-12-11 8:15:58,110.0,109.62,12
2021-12-11 8:18:03,110.0,109.57,7
2021-12-11 8:20:08,110.0,109.46,11
2021-12-11 8:22:12,110.0,109.54,9
2021-12-11 8:24:17,110.0,109.54,13
2021-12-11 8:26:22,110.0,109.45,10
2021-12-11 8:28:26,110.0,109.49,5
2021-12-11 8:30:31,110.0,109.54,7
2021-12-11 8:32:35,110.0,109.54,6
2021-12-11 8:34:40,110.0,109.44,9
2021-12-11 8:36:45,110.0,109.53,8
2021-12-11 8:38:49,110.0,109.62,9
2021-12-11 8:40:54,110.0,109.54,11
2021-12-11 8:42:58,110.0,109.55,9
2021-12-11 8:45:03,110.0,109.56,9
2021-12-11 8:47:07,110.0,109.48,13
2021-12-11 8:49:12,110.0,109.49,9
2021-12-11 8:51:17,110.0,109.53,8
2021-12-11 8:53:21,110.0,109.63,11
2021-12-11 8:55:26,110.0,109.64,10
2021-12-11 8:57:30,110.0,109.6,7
2021-12-11 8:59:35,110.0,109.68,5
2021-12-11 9:01:40,110.0,109.59,12
2021-12-11 9:03:44,110.0,109.54,6
2021-12-11 9:05:49,110.0,109.6,8
2021-12-11 9:07:53,110.0,109.64,10
2021-12-11 9:09:58,110.0,109.72,12
2021-12-11 9:12:03,110.0,109.6,8
2021-12-11 9:14:07,110.0,109.53,8
2021-12-11 9:16:12,110.0,109.62,4
2021-12-11 9:18:17,110.0,109.54,9
2021-12-11 9:20:21,110.0,109.61,7
2021-12-11 9:22:26,110.0,109.65,11
